DCODE,NAME,AREA,WKT,AUTHORITY,ELLIPSOID,DELTAX,SIGMAX,DELTAY,SIGMAY,DELTAZ,SIGMAZ,NORTH,SOUTH,WEST,EAST,ROTX,ROTY,ROTZ,SCALE,SOURCE,DESCRIPTION
DNAS-F,North american 1927, Alberta/BC,,,clrk66,-7,8,162,8,188,6,43,65,-145,-105,0,0,0,0,default,
DNAS-G,North american 1927, E. Canada,,,clrk66,-22,6,160,6,190,3,38,68,-85,-45,0,0,0,0,default,
DNAS-H,North american 1927, Man/Ont,,,clrk66,-9,9,157,5,184,5,36,63,-108,-69,0,0,0,0,default,
DNAS-I,North american 1927, NW Terr.,,,clrk66,4,5,159,5,188,3,43,90,-144,-55,0,0,0,0,default,
DNAS-J,North american 1927, Yukon,,,clrk66,-7,5,139,8,181,3,53,75,-147,-117,0,0,0,0,default,
DNAS-L,North american 1927, Mexico,,,clrk66,-12,8,130,6,190,6,10,38,-122,-80,0,0,0,0,default,
DNAS-N,North american 1927, C. America,,,clrk66,0,8,125,3,194,5,3,25,-98,-77,0,0,0,0,default,
DNAS-O,North american 1927, Canal Zone,,,clrk66,0,20,125,20,201,20,3,15,-86,-74,0,0,0,0,default,
DNAS-P,North american 1927, Caribbean,,,clrk66,-3,3,142,9,183,12,8,29,-87,-58,0,0,0,0,default,
DNAS-Q,North american 1927, Bahamas,,,clrk66,-4,5,154,3,178,5,19,29,-83,-71,0,0,0,0,default,
DNAS-R,North american 1927, San Salv.,,,clrk66,1,25,140,25,165,25,23,26,-75,-74,0,0,0,0,default,
DNAS-T,North american 1927, Cuba,,,clrk66,-9,25,152,25,178,25,18,25,-87,-72,0,0,0,0,default,
DNAS-U,North american 1927, Greenland,,,clrk66,11,25,114,25,195,25,74,81,-74,-56,0,0,0,0,default,
DNAS-V,North american 1927, Aleutian E,,,clrk66,-2,6,152,8,149,10,50,58,-180,-161,0,0,0,0,default,
DNAS-W,North american 1927, Aleutian W,,,clrk66,2,10,204,10,105,10,50,58,169,180,0,0,0,0,default,
DNSD,North sahara 1959, Algeria,,,clrk80,-186,25,-93,25,310,25,13,43,-15,18,0,0,0,0,default,
DOEG,Old egyptian 1907,,,,ELLHE,-130,3,110,6,-13,8,16,38,19,42,0,0,0,0,default,
DOGB-M,Ordnance gb 1936, Mean (3 Para),,,airy,375,10,-111,10,431,15,44,66,-14,7,0,0,0,0,default,
DOGB-A,Ordnance gb 1936, England,,,airy,371,5,-112,5,434,6,44,61,-12,7,0,0,0,0,default,
DOGB-B,Ordnance gb 1936,England; Wales,,,airy,371,10,-111,10,434,15,44,61,-12,7,0,0,0,0,default,
DOGB-C,Ordnance gb 1936, Scotland,,,airy,384,10,-111,10,425,10,49,66,-14,4,0,0,0,0,default,
DOGB-D,Ordnance gb 1936, Wales,,,airy,370,20,-108,20,434,20,46,59,-11,3,0,0,0,0,default,
DOHA-M,Old hawaiian (cc), Mean,,,clrk66,61,25,-285,20,-181,20,17,24,-164,-153,0,0,0,0,default,
DOHA-A,Old hawaiian (cc), Hawaii,,,clrk66,89,25,-279,25,-183,25,17,22,-158,-153,0,0,0,0,default,
DOHA-B,Old hawaiian (cc), Kauai,,,clrk66,45,20,-290,20,-172,20,20,24,-161,-158,0,0,0,0,default,
DOHA-C,Old hawaiian (cc), Maui,,,clrk66,65,25,-290,25,-190,25,19,23,-158,-154,0,0,0,0,default,
DOHA-D,Old hawaiian (cc), Oahu,,,clrk66,58,10,-283,6,-182,6,20,23,-160,-156,0,0,0,0,default,
